t,cmd_speed,cmd_steer,drive_speed,drive_steer,motor_erpm,odom_omega,odom_vx,odom_x,odom_y,odom_yaw,safety_speed,safety_steer,servo_pos,teleop_speed,teleop_steer,vesc_current,vesc_duty,vesc_erpm,vesc_voltage
-26.628709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000029,-0.007633,0.443532,-0.572700,-1.394460,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.700000
-26.608709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000029,-0.007633,0.443532,-0.572700,-1.394460,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-26.588709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000613,-0.004188,0.443371,-0.572589,-1.394519,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.700000
-26.568709,0.000000,0.000000,0.000000,0.000000,0.000000,0.001083,-0.003135,0.443280,-0.572515,-1.394537,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-26.548709,0.000000,0.000000,0.000000,0.000000,0.000000,0.001083,-0.003135,0.443280,-0.572515,-1.394537,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-26.528709,0.000000,0.000000,0.000000,0.000000,0.000000,0.015775,0.006887,0.443831,-0.573305,-1.394046,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-26.508709,0.000000,0.000000,0.000000,0.000000,0.000000,0.015775,0.006887,0.443831,-0.573305,-1.394046,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-26.488709,0.000000,0.000000,0.000000,0.000000,0.000000,0.008752,0.006039,0.443872,-0.573458,-1.394284,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-26.468709,0.000000,0.000000,0.000000,0.000000,0.000000,0.005520,0.006476,0.443902,-0.573599,-1.394493,0.000000,0.000000,0.560000,0.000000,0.000000,-0.050000,0.000000,0.000000,12.700000
-26.448709,0.000000,0.000000,0.000000,0.000000,0.000000,0.005520,0.006476,0.443902,-0.573599,-1.394493,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-26.428709,0.000000,0.000000,0.000000,0.000000,0.000000,0.003467,0.004572,0.443913,-0.573624,-1.394716,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-26.408709,0.000000,0.000000,0.000000,0.000000,0.000000,0.003467,0.004572,0.443913,-0.573624,-1.394716,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.700000
-26.388709,0.000000,0.000000,0.000000,0.000000,0.000000,0.001062,-0.002965,0.443427,-0.572991,-1.395151,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-26.368709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000799,-0.000504,0.443300,-0.572977,-1.395328,0.000000,0.000000,0.560000,0.000000,0.000000,-0.040000,0.000000,0.000000,12.700000
-26.348709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000799,-0.000504,0.443300,-0.572977,-1.395328,0.000000,0.000000,0.560000,0.000000,0.000000,-0.040000,0.000000,0.000000,12.700000
-26.328709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000509,0.000767,0.443219,-0.572984,-1.395462,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-26.308709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000509,0.000767,0.443219,-0.572984,-1.395462,0.000000,0.000000,0.560000,0.000000,0.000000,-0.040000,0.000000,0.000000,12.700000
-26.288709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000214,-0.000817,0.443152,-0.572948,-1.395652,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-26.268709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000736,-0.000160,0.442964,-0.572986,-1.395834,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-26.248709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000736,-0.000160,0.442964,-0.572986,-1.395834,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-26.228709,0.000000,0.000000,0.000000,0.000000,0.000000,0.006428,-0.003496,0.442849,-0.572492,-1.395680,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.700000
-26.208709,0.000000,0.000000,0.000000,0.000000,0.000000,0.006428,-0.003496,0.442849,-0.572492,-1.395680,0.000000,0.000000,0.560000,0.000000,0.000000,-0.040000,0.000000,0.000000,12.700000
-26.188709,0.000000,0.000000,0.000000,0.000000,0.000000,0.003736,-0.002984,0.442730,-0.572443,-1.395801,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.700000
-26.168710,0.000000,0.000000,0.000000,0.000000,0.000000,0.003206,-0.002537,0.442610,-0.572406,-1.396008,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-26.148710,0.000000,0.000000,0.000000,0.000000,0.000000,0.003206,-0.002537,0.442610,-0.572406,-1.396008,0.000000,0.000000,0.560000,0.000000,0.000000,-0.040000,0.000000,0.000000,12.700000
-26.128710,0.000000,0.000000,0.000000,0.000000,0.000000,0.004416,-0.001670,0.442494,-0.572259,-1.396088,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.700000
-26.108710,0.000000,0.000000,0.000000,0.000000,0.000000,0.004416,-0.001670,0.442494,-0.572259,-1.396088,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-26.088710,0.000000,0.000000,0.000000,0.000000,0.000000,0.002813,-0.000363,0.442383,-0.572253,-1.396146,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-26.068710,0.000000,0.000000,0.000000,0.000000,0.000000,0.001816,-0.001752,0.442300,-0.572214,-1.396327,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.700000
-26.048710,0.000000,0.000000,0.000000,0.000000,0.000000,0.001816,-0.001752,0.442300,-0.572214,-1.396327,0.000000,0.000000,0.560000,0.000000,0.000000,-0.040000,0.000000,0.000000,12.700000
-26.028710,0.000000,0.000000,0.000000,0.000000,0.000000,0.007815,0.012875,0.443478,-0.573301,-1.396273,0.000000,0.000000,0.560000,0.000000,0.000000,-0.040000,0.000000,0.000000,12.700000
-26.008710,0.000000,0.000000,0.000000,0.000000,0.000000,0.007815,0.012875,0.443478,-0.573301,-1.396273,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.700000
-25.988710,0.000000,0.000000,0.000000,0.000000,0.000000,0.004721,0.010612,0.443755,-0.573531,-1.396368,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-25.968710,0.000000,0.000000,0.000000,0.000000,0.000000,0.002999,0.007906,0.444034,-0.573653,-1.396527,0.000000,0.000000,0.560000,0.000000,0.000000,-0.010000,0.000000,0.000000,12.700000
-25.948710,0.000000,0.000000,0.000000,0.000000,0.000000,0.002999,0.007906,0.444034,-0.573653,-1.396527,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-25.928710,0.000000,0.000000,0.000000,0.000000,0.000000,0.003669,-0.002318,0.443736,-0.573063,-1.396816,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-25.908710,0.000000,0.000000,0.000000,0.000000,0.000000,0.003669,-0.002318,0.443736,-0.573063,-1.396816,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.700000
-25.888710,0.000000,0.000000,0.000000,0.000000,0.000000,0.002588,-0.000536,0.443820,-0.573023,-1.396984,0.000000,0.000000,0.560000,0.000000,0.000000,-0.040000,0.000000,0.000000,12.700000
-25.868710,0.000000,0.000000,0.000000,0.000000,0.000000,0.001314,-0.000027,0.443963,-0.572990,-1.397115,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.700000
-25.848710,0.000000,0.000000,0.000000,0.000000,0.000000,0.001314,-0.000027,0.443963,-0.572990,-1.397115,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-25.828710,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003569,0.008161,0.443925,-0.573844,-1.397624,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.700000
-25.808710,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003569,0.008161,0.443925,-0.573844,-1.397624,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-25.788710,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001069,0.007299,0.443973,-0.574028,-1.397815,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-25.768710,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000252,0.007615,0.444007,-0.574194,-1.397881,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-25.748710,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000252,0.007615,0.444007,-0.574194,-1.397881,0.000000,0.000000,0.560000,0.000000,0.000000,-0.040000,0.000000,0.000000,12.700000
-25.728710,0.000000,0.000000,0.000000,0.000000,0.000000,0.003872,-0.007816,0.443445,-0.573114,-1.397788,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
